"","acousticness","danceability","duration_ms","energy","instrumentalness","liveness","loudness","mode","speechiness","tempo","valence","key","time_signature","Class"
"152",0.634,0.566,241693,0.664,0,0.116,-5.303,0,0.0464,128.945,0.437,4,4,"1"
"153",0.0577,0.653,219200,0.799,0,0.221,-5.359,1,0.163,160.017,0.945,7,4,"1"
"154",0.0506,0.775,182667,0.825,1.03e-06,0.111,-5.402,1,0.0464,139.091,0.95,7,4,"1"
"155",0.0197,0.399,216120,0.787,6.07e-05,0.0685,-2.88,1,0.0499,117.089,0.572,1,5,"1"
"156",0.207,0.683,190428,0.53,0,0.394,-4.918,0,0.142,75.016,0.645,5,4,"1"
"157",0.283,0.703,199320,0.747,0,0.396,-4.446,0,0.0895,149.974,0.7,0,4,"1"
"158",0.162,0.799,227833,0.586,2.03e-06,0.193,-6.735,1,0.0377,120.97,0.549,11,4,"1"
"159",0.873,0.435,287693,0.155,0,0.107,-8.948,1,0.046,128.532,0.0935,1,3,"1"
"160",0.283,0.703,199320,0.747,0,0.396,-4.446,0,0.0895,149.974,0.7,0,4,"1"
"161",0.0847,0.751,231827,0.684,0,0.0737,-5.448,1,0.0679,95.979,0.597,5,4,"1"
"162",0.162,0.799,227833,0.586,2.03e-06,0.193,-6.735,1,0.0377,120.97,0.549,11,4,"1"
"163",0.554,0.453,239317,0.496,2.65e-05,0.0772,-5.785,1,0.0453,80.994,0.501,5,4,"1"
"164",0.873,0.435,287693,0.155,0,0.107,-8.948,1,0.046,128.532,0.0935,1,3,"1"
"165",0.0545,0.616,227360,0.778,0,0.142,-4.927,0,0.0387,83.065,0.655,7,4,"1"
"166",0.0476,0.811,188754,0.879,1.91e-06,0.109,-3.724,1,0.0514,134.064,0.962,9,4,"1"
"167",0.0197,0.399,216120,0.787,6.07e-05,0.0685,-2.88,1,0.0499,117.089,0.572,1,5,"1"
"168",0.421,0.851,266840,0.525,0,0.111,-5.221,0,0.0874,97.988,0.405,2,4,"1"
"169",0.0664,0.73,209160,0.669,3.63e-05,0.0822,-3.494,1,0.0318,110.04,0.383,5,4,"1"
"170",0.103,0.622,236413,0.545,2.16e-05,0.0637,-6.689,0,0.0361,135.868,0.213,9,4,"1"
"171",0.162,0.799,227833,0.586,2.03e-06,0.193,-6.735,1,0.0377,120.97,0.549,11,4,"1"
"172",0.0577,0.653,219200,0.799,0,0.221,-5.359,1,0.163,160.017,0.945,7,4,"1"
"173",0.0197,0.399,216120,0.787,6.07e-05,0.0685,-2.88,1,0.0499,117.089,0.572,1,5,"1"
"174",0.052,0.751,235493,0.768,0,0.0848,-7.089,1,0.0346,120.084,0.881,1,4,"1"
"175",0.052,0.751,235493,0.768,0,0.0848,-7.089,1,0.0346,120.084,0.881,1,4,"1"
"176",0.0664,0.73,209160,0.669,3.63e-05,0.0822,-3.494,1,0.0318,110.04,0.383,5,4,"1"
"177",0.554,0.453,239317,0.496,2.65e-05,0.0772,-5.785,1,0.0453,80.994,0.501,5,4,"1"
"178",0.634,0.566,241693,0.664,0,0.116,-5.303,0,0.0464,128.945,0.437,4,4,"1"
"179",0.00937,0.472,236133,0.714,0,0.0764,-4.389,0,0.0334,98.992,0.24,1,4,"1"
"180",0.0506,0.775,182667,0.825,1.03e-06,0.111,-5.402,1,0.0464,139.091,0.95,7,4,"1"
"181",0.0723,0.965,260240,0.609,8.11e-06,0.268,-6.229,1,0.196,129.992,0.628,9,4,"1"
"182",0.568,0.479,172724,0.419,0.000217,0.11,-6.517,1,0.0389,85.014,0.186,0,4,"1"
"183",0.0577,0.653,219200,0.799,0,0.221,-5.359,1,0.163,160.017,0.945,7,4,"1"
"184",0.0723,0.965,260240,0.609,8.11e-06,0.268,-6.229,1,0.196,129.992,0.628,9,4,"1"
"185",0.0847,0.751,231827,0.684,0,0.0737,-5.448,1,0.0679,95.979,0.597,5,4,"1"
"186",0.0435,0.743,224773,0.807,0,0.309,-3.78,1,0.0364,144.062,0.899,1,4,"1"
"187",0.474,0.781,281560,0.445,0,0.184,-6.061,1,0.0295,78.998,0.591,2,4,"1"
"188",0.873,0.435,287693,0.155,0,0.107,-8.948,1,0.046,128.532,0.0935,1,3,"1"
"189",0.0545,0.616,227360,0.778,0,0.142,-4.927,0,0.0387,83.065,0.655,7,4,"1"
"190",0.052,0.751,235493,0.768,0,0.0848,-7.089,1,0.0346,120.084,0.881,1,4,"1"
"191",0.0723,0.965,260240,0.609,8.11e-06,0.268,-6.229,1,0.196,129.992,0.628,9,4,"1"
"192",0.103,0.622,236413,0.545,2.16e-05,0.0637,-6.689,0,0.0361,135.868,0.213,9,4,"1"
"193",0.634,0.566,241693,0.664,0,0.116,-5.303,0,0.0464,128.945,0.437,4,4,"1"
"194",0.554,0.453,239317,0.496,2.65e-05,0.0772,-5.785,1,0.0453,80.994,0.501,5,4,"1"
"195",0.568,0.479,172724,0.419,0.000217,0.11,-6.517,1,0.0389,85.014,0.186,0,4,"1"
"196",0.554,0.453,239317,0.496,2.65e-05,0.0772,-5.785,1,0.0453,80.994,0.501,5,4,"1"
"197",0.554,0.453,239317,0.496,2.65e-05,0.0772,-5.785,1,0.0453,80.994,0.501,5,4,"1"
"198",0.0664,0.73,209160,0.669,3.63e-05,0.0822,-3.494,1,0.0318,110.04,0.383,5,4,"1"
"199",0.554,0.453,239317,0.496,2.65e-05,0.0772,-5.785,1,0.0453,80.994,0.501,5,4,"1"
"200",0.162,0.799,227833,0.586,2.03e-06,0.193,-6.735,1,0.0377,120.97,0.549,11,4,"1"
"201",0.0664,0.73,209160,0.669,3.63e-05,0.0822,-3.494,1,0.0318,110.04,0.383,5,4,"1"
"202",0.103,0.622,236413,0.545,2.16e-05,0.0637,-6.689,0,0.0361,135.868,0.213,9,4,"1"
"203",0.0476,0.811,188754,0.879,1.91e-06,0.109,-3.724,1,0.0514,134.064,0.962,9,4,"1"
"204",0.568,0.479,172724,0.419,0.000217,0.11,-6.517,1,0.0389,85.014,0.186,0,4,"1"
"205",0.162,0.799,227833,0.586,2.03e-06,0.193,-6.735,1,0.0377,120.97,0.549,11,4,"1"
"206",0.283,0.703,199320,0.747,0,0.396,-4.446,0,0.0895,149.974,0.7,0,4,"1"
